"Year","NAA","Alt1","Alt2wTUCPwoVA","Alt2woTUCPwoVA","Alt2woTUCPDeltaVA","Alt2woTUCPAllVA","Alt3","Alt4","Action5"
1980,8374,8374,8374,8374,8374,8374,8374,8374,8374
1981,8989,8989,8989,8989,8989,8989,8989,8989,8989
1982,7769,7648,7760,7757,7790,7826,7764,7711,7772
1983,7984,7756,7987,7979,7981,8131,7958,7919,8061
1984,11004,10859,11036,11029,10937,11145,10951,11020,11148
1985,13997,13790,14023,14015,13952,14131,13943,13961,14097
1986,14497,14104,14553,14543,14519,14730,14403,14257,14475
1987,12962,12430,13150,13140,13049,13320,12740,12644,12871
1988,12726,11873,13006,12995,12854,13179,12357,12393,12648
1989,11927,10967,12047,12036,11953,12246,11541,11509,11750
1990,7847,7125,7779,7770,7766,7898,7595,7537,7629
1991,5842,4995,5870,5857,5882,6010,5583,5555,5801
1992,5702,4783,5849,5864,5837,6057,5425,5391,5710
1993,3627,3177,3796,3869,3767,3756,3583,3601,3559
1994,2390,2044,2137,2435,2126,1490,2286,2474,1936
1995,3270,2723,2528,3000,2498,1613,2865,3262,2458
1996,3665,3316,3233,3512,3205,2723,3395,3741,3281
1997,3348,3276,3247,3360,3231,2924,3387,3457,3358
1998,4311,4364,4241,4306,4197,3932,4444,4337,4352
1999,5558,5482,5553,5563,5515,5441,5606,5532,5550
