"Year","NAA","Alt1","Alt2wTUCPwoVA","Alt2woTUCPwoVA","Alt2woTUCPDeltaVA","Alt2woTUCPAllVA","Alt3","Alt4","Action5"
1980,8762,8762,8762,8762,8762,8762,8762,8762,8762
1981,9376,9376,9376,9376,9376,9376,9376,9376,9376
1982,8156,8035,8147,8144,8177,8214,8151,8098,8159
1983,8371,8143,8374,8367,8368,8518,8345,8306,8449
1984,11391,11246,11423,11416,11325,11532,11338,11407,11536
1985,14384,14178,14410,14402,14340,14519,14331,14348,14484
1986,14884,14491,14940,14930,14906,15117,14790,14644,14863
1987,13350,12817,13537,13527,13436,13707,13128,13032,13259
1988,13113,12260,13393,13382,13241,13566,12744,12780,13035
1989,12314,11354,12434,12424,12340,12633,11928,11896,12137
1990,8234,7513,8166,8158,8153,8285,7982,7924,8016
1991,6230,5382,6257,6245,6270,6397,5971,5942,6188
1992,6089,5170,6237,6251,6224,6444,5812,5778,6098
1993,4015,3564,4183,4257,4154,4144,3971,3988,3947
1994,2777,2431,2524,2823,2514,1878,2673,2861,2323
1995,3657,3110,2915,3387,2885,2001,3252,3649,2845
1996,4052,3704,3621,3899,3593,3110,3782,4128,3668
1997,3735,3663,3635,3747,3619,3311,3775,3845,3745
1998,4698,4752,4628,4693,4584,4319,4831,4724,4739
1999,5946,5870,5941,5950,5902,5829,5994,5920,5937
